id,content,timestamp,username,userdisplayname,userlocation,retweetCount,likeCount,language,source
1641577900305530882,Great! Today I obtained my 4th course certificate in the Google data analysis professional certificate course. I completed the specialization: Process Data from Dirty to Clean ! https://t.co/aHslyHaqQY #Coursera #DataAnalytics #DataScience #DataCleaningchallenge #datafam https://t.co/cRZmx1CDXi,2023-03-30 23:07:25+00:00,CSC_Techy,Celestine Solomon,Nigeria,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641575661583101958,"Finally done with the documentation of my FIFA 21 data cleaning. I carried out the cleaning and wrangling of the dataset using Power Query Editor in Microsoft Excel @PromiseNonso_
#DataCleaningchallenge

To access it, here is the link https://t.co/eda2GYWZ7D",2023-03-30 22:58:31+00:00,yemocute001,MeenahTHEanalyst,"Ibadan, Nigeria",2,4,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1641557232952172545,Finally able to finish the #DataCleaningchallenge . The Kwechiri spirit play a great deal of role here. Now I am happy. https://t.co/TVzq3W5QE3,2023-03-30 21:45:17+00:00,3chibuike,Chukwubụikem,,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1641545701367721984,"I cleaned my first dataset!!! Thanks to @PromiseNonso_ who organized the #datacleaningchallenge
Thanks to @pinnacle_paul for helping me out when I got stuck. I am open to correction and feedback. Glad to take you along with me on this journey!!
https://t.co/MPVKpl00JQ",2023-03-30 20:59:28+00:00,OlabuloD,_O.dhamie,"Lagos, Nigeria",4,11,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1641518161500446732,I was going through a data analyst portfolio recently and I noticed most of his projects were replicated from tutorials (only difference is color and dataset).... #thread #DataAnalytics #DataCleaningchallenge #PowerBI,2023-03-30 19:10:02+00:00,femiodus_,Femi Odugbesan,"Abuja, Nigeria",3,8,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1641484777780916231,"AI and Data Privacy: Unraveling the Complex Relationship
#ArtificialIntelligence #artificalintelligence #Artificial #intelligenceArtificielle #IntelligenzaArtificiale #intelligence #data #DataLeak #Database #DataCleaningchallenge #privacy #private 
https://t.co/ZAoe6BUdIu",2023-03-30 16:57:22+00:00,ml_think,ThinkML,,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641483858213326850,"Hello fams
I just finish documenting how I clean my data. I know it late😂
Feel free to correct and point out any error encountered. #DataCleaningchallenge #DataAnalytics 
https://t.co/bxK5J72Ebj",2023-03-30 16:53:43+00:00,northernabike,N_Abike🐬,"Kaduna, Nigeria",0,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1641457183630950400,"Can you please welcome my latest #DataAnalytics project.
Dynamic and Interactive Sales Dashboard using @msexcel
.
.
.
.
.
#DataAnalysis #DataScience #DataCleaningchallenge #Data #DataVisualization #Microsoft #ExcelTips https://t.co/3rOFp9nASo",2023-03-30 15:07:44+00:00,NasrAnalytics,Mohamed Nasr ™️,"Cairo, Egypt",0,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1641416410575384578,"Check out my latest article on the #DataCleaningChallenge organized by @PromiseNonso_ - a big shoutout to her for putting it together! I joined late, but better late than never. Would love corrections and criticisms! https://t.co/88nA4aVWro",2023-03-30 12:25:42+00:00,data__master,EverythingData👩🏾‍💻,"Lagos, Nigeria",9,49,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1641397583397498880,"Dear woman in Tech: Your skills and knowledge are just as valuable as anyone else's. Stop Doubting yourself. @compsocietyzim Women in ICT Launch. ""Empower Her to Impact and Lead in ICT""
#WomenWhoCode #DataScience #WomenInSTEM #DataAnalytics #DataCleaningchallenge #community #tech https://t.co/QGDipKkK74",2023-03-30 11:10:54+00:00,vehement_Sherr,Gcinithemba Sherilyn Maphosa,"Harare, Zimbabwe",10,51,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641197554707714064,"Data cleaning Challenge Day 4
#DataCleaningchallenge but with python
1. Used ' | ' as split reference because ' , ' was already in use in address column.
2. Expand them based on | and change their individual column names to the original https://t.co/2ZPHDJIwSZ",2023-03-29 21:56:03+00:00,kai_omni,6'2 Omni_Data_Engineer_Kai,We move ,1,8,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641181935752847362,"I just published Titanic Survival Analysis https://t.co/t3rSSiWeGC 

#DataAnalytics #DataCleaningchallenge #data #DataScience https://t.co/Bi7tb41mHw",2023-03-29 20:53:59+00:00,iam_Uchenna,Splendor 💖,A V A I L A B L E,0,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641179038332125184,Enjoying the journey #DataCleaningchallenge #DataAnalytics #excel https://t.co/hCAcrPXaQ8,2023-03-29 20:42:29+00:00,andy_dangeross,Rude Gentleman  🍹,"Abuja, Nigeria",0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1641176511414693889,"Data cleaning Challenge Day 3
#DataCleaningchallenge but with python
Several alphabets were used in place of numbers in certain columns.
1. Displayed rows with strings and strings with integers together
2. Replaced them with the appropriate integers in string format.
3.......... https://t.co/oShPZxlTo9",2023-03-29 20:32:26+00:00,kai_omni,6'2 Omni_Data_Engineer_Kai,We move ,0,5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641173291787321347,"Data cleaning Challenge Day 2
#DataCleaningchallenge but with python https://t.co/tc1c4MiGbM",2023-03-29 20:19:38+00:00,kai_omni,6'2 Omni_Data_Engineer_Kai,We move ,0,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641171224431558656,"Data cleaning Challenge Day 1
#DataCleaningchallenge but with python
first pic is the dirty data
second is clean https://t.co/ttjWf8a7OG",2023-03-29 20:11:26+00:00,kai_omni,6'2 Omni_Data_Engineer_Kai,We move ,2,13,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1641060681079218176,"In this tutorial, you will learn the following topics:

What is #Normalization in #SQL?
First Normal Form
Second Normal Form
Third Normal Form
Boyce Codd Normal Form

#DataScience #DataCleaningchallenge 
#DataAnalytics #DataVisualization #SQL
#Functions

https://t.co/Dx0GiKMzhv",2023-03-29 12:52:10+00:00,_blackdevdes,Black,,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1641031051098173440,"Sometimes you might not understand a thing, just shut down and walk away. Then come back later.. #100DaysOfCode #DataScience #DataCleaningchallenge #motivational #Python #pythonprogramming #DataAnalytics",2023-03-29 10:54:26+00:00,eudoh940,Emmanuel Udoh,"Lagos, Nigeria ",0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1641018088123400193,"@PromiseNonso_ A newbie here, it's harrddd and confusing but I don't wanna give up... 
#DataCleaningchallenge",2023-03-29 10:02:55+00:00,desiresdesire,Tosin,"Abuja, Nigeria",0,4,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640988007875457024,@PromiseNonso_ bring it on...............ever ready🤑🙂🙂🙂#datacleaningchallenge,2023-03-29 08:03:23+00:00,zitshavez,Mr. Ibrahim_Zakari 🇬🇭,"Kamp-Lintfort, Deutschland",0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1640841842450153474,"Pandas Power: The Ultimate Data Cleaning Tool.
{ by @OmobaXchange } from @hashnode
@PromiseNonso_ 
#datascience #pandas #datawrangling #datacleaning #datacleaningchallenge https://t.co/G0X8gyl3Mj",2023-03-28 22:22:35+00:00,TheDataGuy__,TheDataGuy,,1,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1640810612476334087,"https://t.co/0t249K8neZ
#fiver #Online #DataAnalytics #DataCleaningchallenge #freelancers",2023-03-28 20:18:29+00:00,hanzalarana19,hanzala rana,,0,1,qme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1640709633869500419,"You can join the challenge from any part of the world 
This is the second edition of what we did in the #datacleaningchallenge 

You will get the support and guidance you need to build your own portfolio project 

Like and retweet if you are interested 🙏",2023-03-28 13:37:14+00:00,PromiseNonso_,Chinonso✨,Global,58,125,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1640637128794075137,"In fact, I thought it was a completely different tool that's not important, so long you're badass at excel. Poor me. 
Big thanks to the #DataCleaningchallenge telegram group, I was able to get a hang of it.",2023-03-28 08:49:07+00:00,FrancisKoku,Koku Baba🇹🇬🇳🇬,,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640637115405852675,"About the #DataCleaningchallenge...
So, for the past 2 weeks, I've been on a data cleaning challenge. We were asked to use any tool of our choice, and since I've been taking classes on ms excel, I decided to go with excel. I don't know why but I've not been very consistent. 😑",2023-03-28 08:49:04+00:00,FrancisKoku,Koku Baba🇹🇬🇳🇬,,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640630866467487745,"Can't wait... 
#DataCleaningchallenge
#datacleaning",2023-03-28 08:24:14+00:00,godfred_selasi,Godfred Selasi,"Accra, Ghana",0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640627796790718464,"#datachallenge in April 🥳💃
Who's looking forward to it? 

#datachallenge #datacleaningchallenge",2023-03-28 08:12:02+00:00,PromiseNonso_,Chinonso✨,Global,49,159,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1640600084600504321,"I woke up this morning remembering that, in the last three years, I have organized three voluntarily data visualization trainings with a collective attendance of 70 participants...

That's WAW for me

#dataviz #DataCleaningchallenge",2023-03-28 06:21:55+00:00,Prof_KennyJames,Kehinde Ogunyale,"Lagos, Nigeria",2,18,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640385645985103874,"Hey everyone! 

I wanted to share my #datacleaningchallenge project documentation on Medium, which was organized by @PromiseNonso_ 

I would be grateful if you could take a look and share your feedback, recommendations, and review Thank you.
https://t.co/bVaSwPvDVd",2023-03-27 16:09:49+00:00,Olasimbo96,Akinpelumi Olasimbo Victoria,Nigeria,0,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640345124453449731,"Découvrez 6 des fonctions de texte récemment ajoutées.
#Analytics #Excel #DataCleaningchallenge https://t.co/DqAuVYiDhN",2023-03-27 13:28:48+00:00,Antonio_Ngbesu,Antonio Joseph,,1,1,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640283449243074560,#keras #TensorFlow #DataCleaningchallenge #MachineLearning https://t.co/puy8UwoKem,2023-03-27 09:23:43+00:00,unfoldds,Unfold Data Science,"London, England",0,1,qme,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1640247594696970241,"Self Service Data Platform 
#DataCleaningchallenge #DataScientist #DataAnalytics #DataScientists #DataScientist https://t.co/Bwjk8NuYGE",2023-03-27 07:01:15+00:00,aineering,Aineering,,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1640239386544467970,"What is email leads know everything? - https://t.co/CjmH6vru6O

#email #data #onlinemarketing #business #businessowner #onlinebusiness #DigitalMarketing #DataAnalytics #DataCleaningchallenge #howto #Sales https://t.co/POHOL4tDdc",2023-03-27 06:28:38+00:00,LeadsBazaar,leads bazaar llc,,0,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1640076955746795520,"Relaxed, Recharged and Prayed. We start a new week. 
I hope to finish Power BI and Tableau Refresher courses this week. 

#100DaysOfCode #100daysofpractice #100daysofcoding #SQL  #pythonprogramming #DataCleaningchallenge",2023-03-26 19:43:12+00:00,Kenbiz25Keneth,Keneth_Kip,Nairobi ,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1640014621053526016,"Is it possible to combine 3 tables from different Databases using SQL Join Clause ?

#DataCleaningchallenge #DataAnalytics #dataengineering",2023-03-26 15:35:30+00:00,iamorokgospel,"Orok, Gospel",🌍 Global,2,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1639996544123371520,"It's been a long time coming.. Better late than never I suppose. Thanks to @PromiseNonso_ for the fifa data cleaning challenge.
#DataCleaningchallenge
#DataAnalytics

https://t.co/JBxjbCewYH",2023-03-26 14:23:40+00:00,godfred_selasi,Godfred Selasi,"Accra, Ghana",1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1639929556709646336,"HUBSPOT SALESFORCE INTEGRATION ISSUES, LIMITATIONS PROBLEMS AND HOW TO SOLVE THEM...
Read the full article here https://t.co/cbQonIqeh1 

#hubspot #DataCleaningchallenge  #crm #chaos https://t.co/3d5u5LZZOH",2023-03-26 09:57:29+00:00,RevioInbound,revio,"London, UK",0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639911765055029248,"Hi #DataFam

It is live!!! the documentation for #DataCleaningchallenge is here

https://t.co/ZgwsfPQ5jE

Note: To follow along with these guided approaches I will be using, you must be familiar with and able to use Basic Power Query Extraction and Transformation functions.",2023-03-26 08:46:47+00:00,MubarDauda,Mubar (Astute),Space,3,20,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639787731847983104,"phew!

finally, I am glad to share my first Documentation on #github. 
I cleaned a messy #fifa data set sourced from Kaggle using the M language and other features from #powerbi.
kindly engage and leave a comment

https://t.co/HeezPPpMrS

#DataCleaningchallenge #DataAnalytics",2023-03-26 00:33:55+00:00,DrWaley,Olawale👑💻💰,"Lagos, Nigeria",3,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639660031070044161,"Are you an organisation in need of Data Analytics Interns?

Reach out to our Employer Partnership Team at partnerships@blossom.africa or call +233-20-465-6592.

#DataAnalytics #DataCleaningchallenge #datatraining #internship #Partnership #MaandamanoMondays #shedidthat Ghanaians https://t.co/60uN2BiBD9",2023-03-25 16:06:29+00:00,blossomacademy_,Blossom Academy,Ghana,5,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639629093502058496,"⏰Join us this evening by 8.00pm WAT as @JaminOnuegbu a 16 year old member of @dsn_ai_network and @DSN_AI_PH will be taking us on Web3.0 for #DataScience and #DataAnalysis. Use https://t.co/3IIyiyLFa4 to attend the meeting.
#100DaysOfCode #DataCleaningchallenge #openai #chatgpt4 https://t.co/b9D2IvW0qB",2023-03-25 14:03:33+00:00,DSN_AI_PH,DSN AI+ Port Harcourt,"Port Harcourt, Nigeria",1,2,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1639628228611518470,"⏰Join us this evening by 8.00pm WAT as @JaminOnuegbu a 16 year old member of @dsn_ai_network and @DSN_AI_PH will be taking us on Web3.0 for #DataScience and #DataAnalysis. Use https://t.co/BtTSsRWznp to attend the meeting.
#100DaysOfCode #DataCleaningchallenge #openai #ChatGPT https://t.co/oqDVIpv0aZ",2023-03-25 14:00:07+00:00,iamorokgospel,"Orok, Gospel",🌍 Global,2,4,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1639588890817314816,"Done with my #DataCleaningChallenge. Publishing soonest, Trust me you will learn a lot (Tips &amp; tricks, query optimization etc) from the documentation. Anticiwait

NB: experience in using PQ best practice so that you can follow along with the article 😂😂 https://t.co/86EhYeYXqF",2023-03-25 11:23:48+00:00,MubarDauda,Mubar (Astute),Space,1,8,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1639514425525694465,"In participation to the recently concluded data cleaning challenge, i documented my cleaning process with excel and uploaded links to acess them.
Thanks @PromiseNonso_  @DOh_Bams 
#DataCleaningchallenge  #DataAnalytics",2023-03-25 06:27:54+00:00,Michael61712605,Michael,,1,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639380134787444737,"Join me at https://t.co/x8ERSP2Z7A if you are interested in practicing #datacleaning #DataCleaningchallenge with messy datasets. I'm currently working with this: 👇
Amazon Data Science Books Dataset on #kaggle via @KaggleDatasets https://t.co/Tuo41PYiJZ",2023-03-24 21:34:17+00:00,chusk2,danicoder,"Málaga, España",0,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639331797266726935,"@KedrusAcademy 
#DataAnalytics #DataCleaningchallenge #PowerBI https://t.co/UFnNgl4U0x",2023-03-24 18:22:12+00:00,Victor_Ikomi,Victor Ikomi,,0,0,qme,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1639303478097985547,"Tinubu and Atiku"" Plateau #OccupyINECNOW #DataCleaningchallenge ""Don Jazzy Mercy Johnson Kwankwaso ""Seyi Makinde"" Doherty ""Sule Lamido"" Sowore Wike  ""Desmond Elliot"" ""Mr. Peter Obi #gtbank ""Mayor of Ekiti Genevieve LASUTH ""Aunty Kate"" Chude| Pastor B| The DSS| Don Jazzy| Abati | https://t.co/Yd8E754PoL",2023-03-24 16:29:40+00:00,UbgentleAkpan,Ubgentle,,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
1639294364168880135,#66daysofdata #66DaysOfData #DataAnalytics #datacleaningchallenge #SQL #Python #DataScience,2023-03-24 15:53:27+00:00,VesekeM,Loni Tande,"South West, Cameroon",0,0,qht,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639239758139256832,"With #ChatGPT being a hot topic right now, I decided to take it for a test drive in this video!

I asked GPT to analyse sample data and generate code to clean the data... The results were🔥🔥🔥Give it a watch👇🏽👇🏽👇🏽

#datafam #DataScience #DataAsseblief #datacleaningchallenge",2023-03-24 12:16:28+00:00,C_Renzo29,Clyde Chetty 🇿🇦,"Amsterdam, The Netherlands",4,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639238738260656128,"Another one🚨🚨🚨

A follow up of the previous video, this time we take the #datacleaningchallenge to another level by introducing #ChatGPT as our co-pilot!

Let's see how AI can boost our productivity🚀🚀🚀#DataAnalytics #datafam #DataScience 

https://t.co/ALlqW9oYr5 https://t.co/vqdOPybw7t",2023-03-24 12:12:25+00:00,SpillionData,Spillion Analytics,,3,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639214271983755266,#datacleaningchallenge https://t.co/ThNIQPOxVG,2023-03-24 10:35:12+00:00,AbeeblahAdeniyi,A for ADEWUYI🌚🤗,"Ibadan, Nigeria",0,0,qme,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1639214107504283650,"This is what my worksheet looks like after cleaning
#datacleaningchallenge @PromiseNonso_ @Rita_tyna https://t.co/bMPSXYddxg",2023-03-24 10:34:33+00:00,AbeeblahAdeniyi,A for ADEWUYI🌚🤗,"Ibadan, Nigeria",0,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1638840495404204037,I just published DATA CLEANING CHALLENGE: FIFA 21 DATA CLEANING AND WRANGLING BY JEDAIAH OGHENEYEROWHO TIETIE https://t.co/5c7fn511B2  @vicSomadina @PromiseNonso_ #datacleaningchallenge #data,2023-03-23 09:49:56+00:00,Jedynero_,JEDAIAH OGHENEGEROWHO TIETIE,"Port Harcourt, Nigeria",0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
1638744784528351232,"If you are a beginner in coding, 

Errors are your building blocks. 
You can't run away from errors, 
they come frequently and you must be familiar with them,
 else they throw you off balance while coding.

#DataScience #DataCleaningchallenge #Python #coding",2023-03-23 03:29:37+00:00,DATASCIENCEHUB2,OFONITECH Data Hub💰💰💰,,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
